"No.","Time","Source","Destination","Protocol","Length","Info"
"3350","28.192306","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1175","[TCP Spurious Retransmission] 443  >  13283 [PSH, ACK] Seq=4081 Ack=1777 Win=57344 Len=1101 [TCP PDU reassembled in 3304]"
"3353","28.192635","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1374","[TCP Spurious Retransmission] 443  >  13283 [PSH, ACK] Seq=1481 Ack=1777 Win=57344 Len=1300 [TCP PDU reassembled in 3304]"
"3415","28.398241","34.233.30.196","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13285 [SYN, ACK] Seq=0 Ack=1 Win=62727 Len=0 MSS=1340 SACK_PERM WS=128"
"3447","28.444072","64:ff9b::22e9:1ec4","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"3453","28.444573","64:ff9b::22e9:1ec4","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.3","1414","[TCP Previous segment not captured] , Continuation Data"
"3477","28.476049","64:ff9b::305:1967","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","74","[TCP Retransmission] 443  >  13283 [FIN, ACK] Seq=5550 Ack=1842 Win=57344 Len=0"
"3681","29.953414","2404:6800:4009:820::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"3682","29.953414","2404:6800:4009:820::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] "
"3749","30.138619","2404:6800:4009:820::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1294","[TCP Previous segment not captured] 443  >  13290 [PSH, ACK] Seq=49707 Ack=2595 Win=267264 Len=1220"
"3752","30.145517","2404:6800:4009:820::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"3771","30.171974","2404:6800:4009:820::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"3777","30.187547","2404:6800:4009:820::2003","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"3796","30.455798","34.233.30.196","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13285 [SYN, ACK] Seq=0 Ack=1 Win=62727 Len=0 MSS=1340 SACK_PERM WS=128"
"4090","34.478698","34.233.30.196","192.168.254.198","TCP","66","[TCP Retransmission] 443  >  13285 [SYN, ACK] Seq=0 Ack=1 Win=62727 Len=0 MSS=1340 SACK_PERM WS=128"
"4417","39.217988","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","318","[TCP Previous segment not captured] , Ignored Unknown Record"
"4432","39.320936","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","1414","[TCP Previous segment not captured] 443  >  13296 [ACK] Seq=4286 Ack=5024 Win=76992 Len=1340 [TCP PDU reassembled in 4436]"
"4440","39.321312","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TCP","2754","[TCP Previous segment not captured] 443  >  13296 [PSH, ACK] Seq=9698 Ack=5024 Win=76992 Len=2680 [TCP PDU reassembled in 4442]"
"4448","39.403314","64:ff9b::73f0:c211","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1414","[TCP Previous segment not captured] , Ignored Unknown Record"
"4522","40.119699","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4542","40.175404","2404:6800:4009:81e::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"4547","40.175694","2404:6800:4009:81e::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"4551","40.175841","2404:6800:4009:81e::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"4555","40.176008","2404:6800:4009:81e::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"4566","40.191179","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4576","40.233225","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4598","40.274712","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"4604","40.275027","2404:6800:4009:82b::200e","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Ignored Unknown Record"
"4620","40.315252","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4690","40.715377","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","680","[TCP Previous segment not captured] , Application Data"
"4733","40.755035","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4741","40.797318","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4748","40.797577","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4758","40.812423","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","1294","[TCP Previous segment not captured] , Application Data"
"4765","40.812937","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","375","[TCP Previous segment not captured] , Application Data"
"4782","41.043825","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","579","[TCP Previous segment not captured] , Application Data"
"4808","41.095414","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","347","[TCP Previous segment not captured] , Application Data"
"4818","41.096014","2404:6800:4009:80f::2005","2402:3a80:1bb9:db0c:508f:6f66:c2:5348","TLSv1.2","330","[TCP Previous segment not captured] , Application Data"
